univers,type,valeur,genre,signification,culture,origine
reel,français, Mégane,f,,,
reel,français,Aaron,m,celui qui vient après,hébreu,
reel,irlandais,Abaigh,f,joie|père,hébreux,abigail
reel,irlandais,Aban,m,aubépine|blanc,,alban
reel,irlandais,Abban,m,,,alban
reel,irlandais,Abbie,f,joie|père,hébreux,abigail
reel,français,Abdon,m,serviteur,hébreu,
reel,français,Abdonie,f,,hébreu,abdon
reel,français,Abdonise,f,,hébreu,Abel
reel,français,Abel,m,le fils,hébreu,
reel,français,Abélard,m,,hébreu,Abel
reel,français,Abélie,f,,hébreu,Abel
reel,français,Abelin,m,,hébreu,Abel
reel,français,Abeline,f,,hébreu,Abel
reel,français,Abelle,f,,hébreu,abel
reel,nord-amérindien,Abequa,f,reste à la maison,Algonquien,
reel,nord-amérindien,Abey,f,feuille,Peuple Sioux|tribu Omaha,
reel,nord-amérindien,Abeytu,f,feuille verte,Peuple Sioux|tribu Omaha,
reel,hindou,Âbha,f,Éclat|Beauté,,
reel,hindou,Abhay,m,Intrépide|[un des fils de Dhritarashtra, dans le Mahâbhârata],,
reel,hindou,Abhaya,f,Sans|Crainte,,
reel,irlandais,Abhcan,m,petite|nain,celtique,
reel,hindou,Abhijit,m,Victorieux|constellation,,
reel,hindou,Abhilash,m,Désir,,
reel,hindou,Abhilasha,f,Désir,,
reel,hindou,Abhimanyu,m,fils|Arjuna,,
reel,hindou,Abhinav,m,Nouveau,,
reel,hindou,Abhiruchi,f,Belle,,
reel,hindou,Abhirup,m,Agréable,,
reel,hindou,Abhisarika,f,Bien-aimée,,
reel,hindou,Abhishek,m,cérémonie|[on verse l'eau et le lait sacrés sur un objet à bénir],,
reel,hindou,Abhra,m,Nuage,,
reel,irlandais,Abiageal,f,joie|père,hébreux,abigail
reel,français,Abigaëlle,f,joie du père|source de joie,hébreu,abigaelle
reel,français,Abigaïl,f,,hébreu,abigaelle
reel,hindou,Aboli,f,fleur,,
reel,français,Abondance,m,opulence,latin,
reel,français,Abraham,m,père d'une multitude de nations,hébreu,
reel,français,Absalon,m,la paix,hébreu,
reel,français,Acace,m,l'innocence,grec,
reel,français,Acaciane,f,,grec,acacie
reel,français,Acacie,f,,grec,acace
reel,français,Acanthe,f,,grec,acacie
reel,français,Achaire,m,le remède,grec,
reel,hindou,Achala,f,Sans-fin|Constante|Montagne,,
reel,français,Achille,m, du nom du héros de l'épopée homérique,grec,
reel,hindou,Achintya,m,Au-delà de la Compréhension,,
reel,hindou,Achyuta,m,Impérissable|[nom de Vishnu],,
reel,français,Adalard,m,noble|dure,germanique,
reel,français,Adalbald,m,noble|hardi,germanique,
reel,français,Adalbaude,f,,germanique,abaldald
reel,français,Adalbéron,m,noble|ours,germanique,
reel,français,Adalbert,m,noble|illustre,germanique,
reel,français,Adalric,m,noble|puissant,germanique,
reel,français,Adalsinde,f,noble|doux,germanique,
reel,français,Adam,m,homme|terre,hébreu,
fantastic,elfe,Adanedhel,m,homme-elfe,,fantastic
reel,hindou,Adarsh,f,Miroir|Idéal,,
reel,hindou,Adarshini,f,Idéaliste,,
reel,français,Adegrin,m,noble|cruel,germanique,
reel,français,Adegrine,f,,germanique,adegrin
reel,français,Adel,m,noble,germanique,
reel,français,Adélaïde,f,,germanique,adèle
reel,français,Adèle,f,,germanique,adel
reel,français,Adélice,f,,germanique,adèle
reel,français,Adélie,f,,germanique,adèle
reel,français,Adelin,m,noble|doux,germanique,
reel,français,Adeline,f,,germanique,adelin
reel,français,Adelphe,m,le frère,grec,
reel,français,Adeltrude,f,noble|fidèle,germanique,
reel,français,Adenet,m,,hébreu,adam
reel,français,Adéodat,m,Dieu a donné,latin,
reel,hindou,Adesh,m,Commandement,,
reel,irlandais,Adhamhan,m,terre|rouge,hébreux,aza
reel,français,Adhémar,m,noble|illustre,germanique,
reel,hindou,Adhik,m,Plus Grand,,
reel,hindou,Adhika,f,Surabondance,,
reel,hindou,Adhira,f,Éclair,,
reel,hindou,Adhita,f,Éduquée,,
reel,hindou,Âdhya,f,Premier|Pouvoir,,
reel,hindou,Âdi,m,Premier|le Plus Important,,
reel,hindou,Adil,m,Juste,,
reel,hindou,Adinath,m,Premier|Seigneur|[un nom de Vishnu],,
reel,hindou,Adishri,f,Exaltée,,
reel,hindou,Adit,m,Premier Né,,
reel,hindou,Aditi,f,[Sans limite Divinité védique],,
reel,hindou,Aditya,m,Fils de l'Infini|[un des noms du Soleil],,
reel,français,Adjutor,m,celui qui aide,latin,
reel,irlandais,Adnae,m,âgé,,
reel,français,Adolphe,m,noble|loup,germanique,
reel,français,Adolphie,f,,germanique,adolphe
reel,français,Adon,m,,phénicien,adonis
reel,français,Adonis,m,prince,phénicien,
reel,français,Adonise,f,,phénicien,adonis
warcraft,elfe,Adora,f,,Pretresse de la lune,warcraft
reel,français,Adraste,m,,grec,
reel,français,Adrastée,f,de qui on ne peut échapper,grec,adraste
reel,français,Adrehilde,f,noble|combat,germanique,
reel,nord-amérindien,Adriel,m,castor|symbole d'adresse,,
reel,français,Adrien,m,ville de Vénétie,latin,
reel,français,Adrienne,f,,latin,adrien
reel,hindou,Adrika,f,Céleste,,
fantastic,elfe,Adûnakhôr,m,seigneur de l'Ouest,,fantastic
reel,irlandais,Aed,m,,,aodh
reel,irlandais,Aedan,m,,,aed
fantastic,elfe,Aeglos,m,pointe de neige,,fantastic
